,Unnamed: 0,Number of views last 7 days,currency,Price_Euros,Boat Type,Manufacturer,Type,Condition,Year Built,Length,Width,Material,Country,price_percentile
167,167,620,EUR,228975.0,Bowrider,Frauscher ,"new boat from stock,Unleaded",new,2019.0,8.67,2.49,GRP,Switzerland ,71-80
168,168,619,CHF,9405.0,Cabin Boat,Selco ,"Used boat,Unleaded",Used,1969.0,7.43,2.5,GRP,Switzerland ,0-10
169,169,619,CHF,26235.0,"Cabin Boat,Pilothouse,Sport Boat",Century ,"Used boat,Unleaded",Used,1989.0,7.67,2.43,GRP,Switzerland ,11-20
170,170,617,CHF,71280.0,Bowrider,MasterCraft ,"Used boat,Unleaded",Used,2005.0,8.61,2.9,GRP,Switzerland ,41-50
171,171,613,EUR,35921.0,Sport Boat,Drago Boats ,"new boat from stock,Unleaded",new,,6.6,2.28,GRP,Germany ,21-30
172,172,613,CHF,8415.0,Sport Boat,Webbcraft ,"Used boat,Unleaded",Used,1979.0,6.07,2.4,GRP,Switzerland ,0-10
173,173,612,CHF,39501.0,Motor Yacht,Cranchi ,"Used boat,Unleaded",Used,1994.0,9.55,3.32,GRP,Switzerland ,21-30
174,174,612,EUR,339000.0,Mega Yacht,Sunseeker ,"Used boat,Diesel",Used,2001.0,21.81,5.2,GRP,Italy ,81-90
175,175,611,CHF,24750.0,Classic,,"Used boat,Unleaded",Used,1960.0,4.5,2.0,Wood,Switzerland ,11-20
176,176,607,CHF,25740.0,Cabin Boat,Nidelv ,"Used boat,Unleaded",Used,1995.0,7.5,2.5,GRP,Switzerland ,11-20
177,177,605,EUR,24900.0,"Motor Yacht,Sport Boat,Trawler",Sea Ray ,"Used boat,Unleaded",Used,1996.0,8.9,2.9,GRP,Italy ,11-20
178,178,605,CHF,183150.0,Wakeboard/Wakesurf,MasterCraft ,"Display Model,Unleaded",Display,2019.0,6.8,2.5,GRP,Switzerland ,61-70
179,179,605,CHF,24651.0,"Motor Yacht,Sport Boat",Tullio Abbate ,"Used boat,Unleaded",Used,1990.0,7.85,2.26,GRP,Switzerland ,11-20
180,180,604,CHF,14751.0,Sport Boat,Windy ,Used boat,Used,1986.0,6.7,2.5,GRP,Switzerland ,0-10
181,181,603,Â£,7945999.999999999,Flybridge,Princess ,"Used boat,Diesel",Used,2018.0,30.21,7.04,GRP,Spain ,91-100
182,182,603,CHF,297000.0,Runabout,Frauscher ,"Used boat,Unleaded",Used,2019.0,9.99,2.92,GRP,Switzerland ,71-80
183,183,599,CHF,81675.0,Wakeboard/Wakesurf,MasterCraft ,"Used boat,Unleaded",Used,2012.0,6.78,2.54,Plastic,Switzerland ,41-50
184,184,599,CHF,12375.0,Sport Boat,Regal ,"Used boat,Unleaded",Used,1992.0,5.2,2.2,GRP,Thalwil,0-10
